t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.18,TAKEOFF,TO_PREFLIGHT,0.19,80,79.81,3.58,0.05,-0.44,-13.74,90.04,0.052,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,2.7,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.08,2,0,0.16,0.16,1,3.45,0.16,0.02,0.02,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.44,TAKEOFF,TO_PREFLIGHT,0.19,80,79.81,3.64,-0.11,-0.07,35.95,90.04,0.071,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-6.55,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,518.08,2,0,0.04,0.04,6,19.23,0.16,0.04,0.28,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.7,TAKEOFF,TO_PREFLIGHT,0.09,80,79.91,3.61,0.05,-0.25,-42.43,90.05,0.121,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,2.86,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,518.1,2,0,0.04,0.04,11,19.23,0.08,0.04,0.54,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
0.96,TAKEOFF,TO_PREFLIGHT,0.05,80,79.95,3.61,-0.02,-0.26,28.63,90.05,0.152,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.95,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,518.11,2,0,0.04,0.04,16,19.23,0.08,0.04,0.8,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.22,TAKEOFF,TO_PREFLIGHT,0.06,80,79.94,3.63,-0.01,-0.11,27.77,90.04,0.131,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.64,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,518.11,2,0,0.04,0.04,21,19.23,0.08,0.04,1.06,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.48,TAKEOFF,TO_PREFLIGHT,0.04,80,79.96,3.61,0,-0.22,-7.51,90.04,0.092,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.1,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,518.12,2,0,0.04,0.04,26,19.23,0.08,0.04,1.32,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
1.74,TAKEOFF,TO_PREFLIGHT,0.03,80,79.97,3.61,-0.01,-0.21,36.17,90.04,0.073,0.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.29,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,518.12,2,0,0.04,0.04,31,19.23,0.08,0.04,1.58,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,3.62,-0.01,-0.14,79.08,90.04,0.087,0.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.52,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.97,518.12,2,0,0.04,0.04,36,19.23,0.08,0.04,1.84,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.32,TAKEOFF,TO_PREFLIGHT,0.04,80,79.96,3.61,0.01,-0.22,-8.75,90.04,0.12,0.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,0.31,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.23,518.11,2,0,0.08,0.08,41,15.63,0.08,0.04,2.16,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
2.6,TAKEOFF,TO_PREFLIGHT,0.02,80,79.98,3.61,0,-0.22,13.75,90.04,0.13,0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4,0,1,0,-0.19,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,0,90.4,1,0,-0.36,0,0,1,0,0,0,0,0,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.48,518.12,2,0,0.08,0.08,45,14.29,0.08,0.06,2.44,LANDED,CF1-J,0:/Integrated Flight Computer/aircraft/cf1_j_cfg.ks (inferred preloaded)
