t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,155.4,152,-3.4,664,584.28,-21.35,6.9,14.38,270.03,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-7.83,0,0,0,90,0,0,0,0,0,-0.01,-24.13,11.713,0,0,0,3,664,0,0,688.14,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.31,1093.76,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,155.63,152,-3.63,658.48,578.78,-20.97,6.91,14.23,270.02,0.033,0,0,0,1,0.6,1.488,0.75,0.35,0.0168,0.4,2.385,20.872,2.385,3.614,1,269.99,0,0,1,-7.7,0,0,0,270.01,0.326,-0.0001,0.9454,0,269.99,0,-26.92,11.677,-0.008,18.259,1,3,664,-12.728,0,686.26,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.08,1095.16,2,0,0.12,0.12,3,7.69,0.14,0.12,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.68,APPROACH,ILS_TRACK,155.67,152,-3.67,652.78,573.43,-20.46,5.99,13.03,270.01,0.023,0,0,0,1,0.6,2.749,0.75,0.35,0.0168,0.4,2.445,20.857,2.445,3.669,1,269.99,0,0,1,-7.51,0,0,0,269.99,0.3261,-0.0001,0.9453,0,269.99,0.01,-30.37,11.635,-0.006,19.931,1,3,664,-13.525,0,684.04,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.6,1095.74,2,0,0.12,0.12,5,7.69,0.14,0.12,0.68,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.94,APPROACH,ILS_TRACK,155.71,152,-3.71,646.78,568.19,-20.45,3.73,10.67,270.01,0.024,0,0,0,1,0.6,3.816,0.75,0.35,0.0168,0.4,2.469,20.851,2.469,3.691,1,269.99,0,0,1,-7.46,0,0,0,269.99,0.3262,-0.0001,0.9453,0,269.99,0.01,-34.11,11.592,-0.008,21.957,1,3,664,-14.656,0,681.83,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.87,1096.28,2,0,0.12,0.12,7,7.69,0.14,0.12,0.94,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.3,APPROACH,ILS_TRACK,156.26,152,-4.26,638.28,560.69,-21.63,0.41,7.76,270.01,0.016,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.051,20.7,3.051,4.227,1,269.99,0,0,1,-7.82,0,0,0,269.99,0.3262,-0.0001,0.9453,0,269.99,0.02,-39.51,11.534,-0.006,23.984,1,3,664,-15.162,0,678.75,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.93,1099.22,2,0,0.12,0.12,10,8.33,0.12,0.12,1.3,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.66,APPROACH,ILS_TRACK,156.96,152,-4.96,629.65,552.49,-23.43,-1.52,6.53,270.01,0.033,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.793,20.504,3.793,4.922,1,269.99,0,0,1,-8.43,0,0,0,269.99,0.3263,-0.0001,0.9453,0,269.99,0.03,-45.05,11.475,-0.008,25.865,1,3,664,-15.439,0,675.67,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.78,1102.83,2,0,0.12,0.12,13,8.33,0.12,0.12,1.66,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.02,APPROACH,ILS_TRACK,157.64,152,-5.64,620.89,543.71,-25.22,-1.68,7.07,270.01,0.032,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.505,20.312,4.505,5.603,1,269.99,0,0,1,-9.03,0,0,0,269.99,0.3264,-0.0002,0.9452,0,269.99,0.04,-50.71,11.416,-0.009,27.876,1,3,664,-15.829,0,672.58,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.96,1106.45,2,0,0.12,0.12,16,8.33,0.12,0.12,2.02,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.38,APPROACH,ILS_TRACK,158.15,152,-6.15,612.1,534.43,-26.57,0.06,9.37,270.02,0.03,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,5.045,20.164,5.045,6.129,1,269.99,0,0,1,-9.5,0,0,0,269.99,0.3265,-0.0001,0.9452,0,269.99,0.05,-56.41,11.357,-0.006,29.558,1,3,664,-15.793,0,669.48,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.14,1109.44,2,0,0.12,0.12,19,8.33,0.12,0.12,2.38,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.74,APPROACH,ILS_TRACK,158.4,152,-6.4,603.29,524.75,-26.66,2.9,12.26,270.02,0.014,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,5.315,20.089,5.315,6.394,1,269.99,0,0,1,-9.57,0,0,0,269.99,0.3266,-0.0002,0.9452,0,269.99,0.07,-62.11,11.298,-0.011,31.416,1,3,664,-15.98,0,666.38,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.06,1111.3,2,0,0.12,0.12,22,8.33,0.12,0.12,2.74,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.1,APPROACH,ILS_TRACK,158.24,152,-6.24,594.3,515.21,-26.14,4.73,13.87,270.01,0.006,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,5.168,20.13,5.168,6.25,1,269.99,0,0,1,-9.4,0,0,0,269.99,0.3267,-0.0002,0.9451,0,269.99,0.08,-68,11.239,-0.013,33.52,1,3,664,-16.402,0,663.29,0,0,0,,0,0,0,0,0,0,270.02,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.47,1111.37,2,0,0.12,0.12,25,8.33,0.12,0.12,3.1,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
