t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_pitch_in_cmd,elev_defl_avg_deg,elev_defl_max_deg,elev_defl_n,flare_ctrl_h_m,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,flare_gamma_ref,flare_gamma_eb_term,flare_gamma_unsat,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
1.1,APPROACH,ILS_TRACK,154.2,152,-2.2,731.56,663.96,-12.57,10.29,14.41,269.81,0.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.67,0,0,0,90,0,0,0,0,0,7.12,-488.2,22.071,0,0,0,3,742.78,0,0,1230.98,0,0,0,,0,0,0,0,0,0,0,0,663.96,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.1,1082.85,2,0,0.14,0.14,1,3.7,0.14,0.02,1.1,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
2.16,APPROACH,ILS_TRACK,154.45,152,-2.45,720.09,651.37,-11.36,10.39,14.35,269.78,0.135,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,1.09,21.2,1.09,2.452,1,266.57,0,1,0,-4.22,0,0,-0.02,90,0.9938,-0.0597,0.0937,0,266.57,6.34,-491.67,21.901,-3.425,0,0,3,742.78,-983.335,0,1222.08,0,0,0,,0,0,0,0,0,0,0,0,651.37,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.94,1080.58,2,0,1.04,0.5,2,0.94,1.04,0.14,2.16,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
3.22,APPROACH,ILS_TRACK,153.59,152,-1.59,710.23,639.51,-10.12,10.66,15.29,268.55,-5.108,0,0,0,1,0.6,1.461,0.75,0.35,0.0168,0.4,0.101,21.444,0.101,1.587,1,270.17,0,0,1,-3.78,0,0,0.02,266.57,0.9956,0.003,0.0935,0,270.17,5.56,-493.98,21.729,0.171,0,0,3,742.78,-4.623,0,1213.04,0,0,0,,0,0,0,0,0,0,0,0,639.51,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.36,1074.2,2,0,1.06,0.5,3,0.94,1.06,1.04,3.22,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
4.28,APPROACH,ILS_TRACK,151.78,152,0.22,702.39,629.88,-8.77,12.36,16.2,268.5,-0.044,0.2,0,0.088,1,0.6,2.099,0.75,0.35,0.0168,0.4,0,21.954,0,-0.224,0,270.76,0,0,1,-3.34,0,0,0.02,270.17,0.9956,0.0133,0.0932,0,270.76,3.74,-494.66,21.558,0.759,0,0,3,742.78,-1.365,0,1204.08,0,0,0,,0,0,0,0,0,0,0,0,629.88,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.3,1063.3,2,0,1.06,0.5,4,0.94,1.06,1.06,4.28,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
5.34,APPROACH,ILS_TRACK,148.97,152,3.03,696.87,621.29,-6.51,13.93,16.28,270.74,6.571,0.4,0,1.574,1,0.6,2.678,0.75,0.35,0.0168,0.4,0,22.744,0,-3.027,0,270.99,0,0,1,-2.53,0,0,0.02,270.76,0.9955,0.0172,0.0929,0,270.99,1.63,-493.46,21.389,0.988,0,0,3,742.78,2.4,0,1195.25,0,0,0,,0,0,0,0,0,0,0,0,621.29,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.08,1051.58,2,0,1.06,0.5,5,0.94,1.06,1.06,5.34,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
6.4,APPROACH,ILS_TRACK,146.05,152,5.95,693.14,615.85,-3.92,14.56,14,272,6.545,0.6,0,1.567,1,0.6,3.203,0.75,0.35,0.0168,0.4,0,23.553,0,-5.897,0,270.28,0,0,1,-1.57,0,0,0.02,270.99,0.9957,0.0048,0.0927,0,270.28,1,-490.14,21.224,0.276,0,0,3,742.78,6.641,0,1186.59,0,0,0,,0,0,0,0,0,0,0,0,615.85,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1043.15,2,0,1.06,0.5,6,0.94,1.06,1.06,6.4,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
7.46,APPROACH,ILS_TRACK,144.1,152,7.9,691.41,613.3,-2.18,12.93,14.69,270.79,0.322,0.8,0,1.559,1,0.6,3.68,0.75,0.35,0.0168,0.4,0,24.112,0,-7.88,0,269.44,0,0,1,-0.88,0,0,0.02,270.28,0.9957,-0.0098,0.0924,0,269.44,1.96,-485.2,21.061,-0.56,0,0,3,742.78,9.885,0,1178.06,0,0,0,,0,0,0,0,0,0,0,0,613.3,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.27,1040.25,2,0,1.06,0.5,7,0.94,1.06,1.06,7.46,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
8.52,APPROACH,ILS_TRACK,143.37,152,8.63,689.95,611.02,-0.89,14.31,9.79,269.15,-4.576,1,0,1.551,1,0.6,4.118,0.75,0.35,0.0168,0.4,0,24.316,0,-8.604,0,269.34,0,0,1,-0.41,0,0,0.02,269.44,0.9957,-0.0116,0.0922,0,269.34,3.04,-478.26,20.9,-0.662,0,0,3,742.78,13.878,0,1169.6,0,0,0,,0,0,0,0,0,0,0,0,611.02,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.62,1040.54,2,0,1.06,0.5,8,0.94,1.06,1.06,8.52,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
9.58,APPROACH,ILS_TRACK,143.8,152,8.2,689.48,610.93,-0.53,9.55,10.3,269.12,-4.229,1,0,1.543,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,24.213,0,-8.241,0,269.87,0,0,1,-0.18,0,0,0.02,269.34,0.9958,-0.0023,0.0919,0,269.87,3.07,-471.26,20.739,-0.133,0,0,3,742.78,13.991,0,1161.15,0,0,0,,0,0,0,0,0,0,0,0,610.93,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.26,1050.72,2,0,1.06,0.5,9,0.94,1.06,1.06,9.58,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
10.64,APPROACH,ILS_TRACK,146.4,152,5.6,688.79,610.67,-0.42,10.14,9.5,269.61,-0.356,0.8,0,4.371,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.468,0,-5.598,0,270.29,0,0,1,-0.2,0,0,0.02,269.87,0.9958,0.005,0.0916,0,270.29,2.3,-463.15,20.575,0.288,0,0,3,742.78,16.22,0,1152.6,0,0,0,,0,0,0,0,0,0,0,0,610.67,0,0,0,0,0,0,0,0,0,269.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655.21,1065.43,2,0,1.06,0.5,10,0.94,1.06,1.06,10.64,FLYING,X10-H,0:/Integrated Flight Computer/aircraft/x10_h_cfg.ks (inferred preloaded)
