t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
0.94,TAKEOFF,TO_PREFLIGHT,0.21,80,79.79,3.61,0,-0.15,0.31,89.64,-0.038,0.2,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.759,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887.32,2,0,0.78,0.5,1,0.19,0.78,0.02,0.22,LANDED
6,TAKEOFF,TO_PREFLIGHT,0.14,80,79.86,3.57,0,-0.27,-0.43,89.63,-0.039,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,-0.76,0,0,1,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.68,887.3,2,0,0.12,0.12,49,9.49,0.78,0.08,5.28,LANDED
11.14,TAKEOFF,TO_GROUND_ROLL,7.45,80,72.55,3.61,-0.01,-0.14,-0.07,89.48,-0.035,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0.007,0,0,0,0,90.4,1,0.007,-0.922,0.027,0.622,0,0.027,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738.2,886.98,2,0,0.18,0.18,86,7.2,0.22,0.12,10.42,LANDED
16.28,TAKEOFF,TO_GROUND_ROLL,32.25,80,47.75,3.61,-0.07,-0.14,-0.03,89.61,-0.031,1,0,0,0,0,0,0,0,0,0,90.48,0,0,0,0,0.082,0,0,0,0,90.48,1,0.082,-0.867,0.0352,0.87,0,0.0352,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.29,883.15,2,0,0.18,0.18,114,5.45,0.28,0.18,15.56,LANDED
21.42,TAKEOFF,TO_GROUND_ROLL,58.82,80,21.18,3.61,-0.1,-0.12,-0.03,89.83,-0.043,1,0,0,0,0,0,0,0,0,0,90.61,0,0,0,0,0.22,0,0,0,0,90.61,1,0.22,-0.787,0.0362,1,0,0.0362,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860.09,878.87,2,0,0.18,0.18,142,5.45,0.28,0.18,20.7,LANDED
26.56,TAKEOFF,TO_GROUND_ROLL,86.12,80,-6.12,3.61,-0.08,-0.06,-0.01,90.12,-0.038,1,0,0,0,0,0,0,0,0,0,90.74,0,0,0,0,0.352,0,0,0,0,90.74,1,0.352,-0.624,0.028,1,0,0.028,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894.7,901.84,2,0,0.18,0.18,170,5.45,0.28,0.18,25.84,LANDED
31.7,TAKEOFF,TO_GROUND_ROLL,115.58,80,-35.58,3.58,-0.06,-0.14,-0.11,90.42,-0.064,1,0,0,0,0,0,0,0,0,0,90.78,0,0,0,0,0.398,0,0,0,0,90.78,1,0.398,-0.382,0.016,1,0,0.016,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998.33,1001.53,2,0,0.18,0.18,198,5.45,0.28,0.18,30.98,LANDED
36.8,TAKEOFF,TO_ROTATE,148.46,80,-68.46,3.71,0.18,0.35,0.28,91.26,0.025,1,0,0,0,0,0,0,0,0,0,90.58,9.291,0,0,0,0.265,0,0,0,0,90.58,1,0.265,0.591,-0.0382,1,0,-0.0382,0,0.72,9.291,8.952,0.08,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128.42,1130.09,2,0,0.24,0.24,222,4.71,0.28,0.18,36.08,LANDED
41.82,TAKEOFF,TO_ROTATE,184.21,80,-104.21,13.51,-8.41,17.03,19.45,91.3,1.257,1,0,0,0,0,0,0,0,0,0,90.4,11.5,0,0,0,0,0,0,0,0,90.4,1,0,0.937,0,0,3,0,0,0,11.5,-5.128,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293.45,1294.19,2,0,0.1,0.1,260,7.57,0.34,0.1,41.1,FLYING
46.88,TAKEOFF,TO_CLIMB,196.99,80,-116.99,96.34,17.7,19.21,14.12,90.09,2.971,0.82,0,0,0,0,0,0,0,0,0,90.4,7,0,0,0,0,0,0,0,0,90.4,1,0,-0.313,0,0,3,0,0,0,11.5,-9.072,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207.49,1355.53,2,0,0.12,0.12,304,8.73,0.2,0.1,46.16,FLYING
