t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status
1.1,TAKEOFF,TO_GROUND_ROLL,249.71,80,-169.71,1106.9,-10.11,2.31,4.64,266.44,-4.323,1,0,0,0,0,0,0,0,0,0,90.4,0,0,0,0,0,0,0,0,0,90.4,1,0,176.04,0,0,1,0,0,0,0,0,0,0,1,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.46,3973.71,6,0,0.92,0.5,1,2.56,0.92,0.02,0.2,FLYING
1.88,TAKEOFF,TO_ROTATE,249.21,80,-169.21,1105.2,-5.59,7.19,11.19,265.47,-4.341,1,0,0,0,0,0,0,0,0,0,90.75,0,0,0,0,0,0,0,0,0,90.75,1,0,174.719,0,0,3,0,0,0,0,0,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,822.12,3969.85,6,0,0.72,0.5,2,1.25,0.92,0.72,0.98,FLYING
2.6,TAKEOFF,TO_ROTATE,246.27,80,-166.27,1109.91,8.01,14.5,13.9,262.61,-4.615,1,0,0,0,0,0,0,0,0,0,90.4,8.994,0,0,0,0,0,0,0,0,90.4,1,0,172.21,0,0,3,0,0,0,8.994,-5.51,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234.87,3936.56,6,0,0.8,0.5,3,1.43,0.8,0.72,1.7,FLYING
3.28,TAKEOFF,TO_CLIMB,242.19,80,-162.19,1124.03,23.23,19.7,15.71,260.44,-5.028,1,0,0,0,0,0,0,0,0,0,90.4,10,0,0,0,0,0,0,0,0,90.4,1,0,170.039,0,0,3,0,0,0,10,-9.7,0,0,2,2,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560.36,3889.08,6,0,0.68,0.5,4,1.47,0.8,0.68,2.38,FLYING
4.04,APPROACH,,236.54,140,-96.54,1151.47,39.43,23.96,16.59,258.94,-5.308,0.82,0,0,0,0,0,0,0,0,0,90.4,18.3,0,0,0,0,0,0,0,0,90.4,1,0,168.539,0,0,3,0,0,0,10,-9.7,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849.09,3822.31,6,0,0.7,0.5,5,1.32,0.7,0.68,0.08,FLYING
4.74,APPROACH,,229.65,140,-89.65,1187.87,53.88,30.74,18.71,257.89,-5.422,0.82,0,0,0,0,0,0,0,0,0,90.4,18.3,0,0,0,0,0,0,0,0,90.4,1,0,168.539,0,0,3,0,0,0,10,-9.7,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974.88,3740.86,6,0,0.84,0.5,6,1.47,0.84,0.7,0.78,FLYING
5.38,APPROACH,,222.29,140,-82.29,1229.45,66.89,35.44,19.7,257.15,-5.5,0.82,0,0,0,0,0,0,0,0,0,90.4,18.3,0,0,0,0,0,0,0,0,90.4,1,0,168.539,0,0,3,0,0,0,10,-9.7,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2056.36,3651.14,6,0,0.64,0.5,7,1.61,0.84,0.64,1.42,FLYING
6.04,APPROACH,,214.5,140,-74.5,1279.9,78.88,39.24,19.76,256.44,-5.583,0.82,0,0,0,0,0,0,0,0,0,90.4,18.3,0,0,0,0,0,0,0,0,90.4,1,0,168.539,0,0,3,0,0,0,10,-9.7,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114.44,3552.97,6,0,0.66,0.5,8,1.56,0.66,0.64,2.08,FLYING
6.68,APPROACH,,207.23,140,-67.23,1335.61,88.9,42.66,19.76,255.69,-5.686,0.82,0,0,0,0,0,0,0,0,0,90.4,18.3,0,0,0,0,0,0,0,0,90.4,1,0,168.539,0,0,3,0,0,0,10,-9.7,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152.45,3459,6,0,0.64,0.5,9,1.61,0.66,0.64,2.72,FLYING
7.32,APPROACH,,200.27,140,-60.27,1397.03,97.42,45.88,19.76,254.9,-5.777,0.82,0,0,0,0,0,0,0,0,0,90.4,18.3,0,0,0,0,0,0,0,0,90.4,1,0,168.539,0,0,3,0,0,0,10,-9.7,0,0,1,1,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175.78,3367.25,6,0,0.64,0.5,10,1.61,0.64,0.64,3.36,FLYING
