t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,aa_hdg_cmd_deg,aa_fpa_cmd_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,flare_fpa_cmd,flare_tgt_vs,flare_frac,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,phase_el_s,status
1,APPROACH,FLY_TO_FIX,166.25,75.4,-90.85,2999.78,0.09,-0.27,-0.25,90,-0.075,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,270.2,-6,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,FLYING
1.72,APPROACH,FLY_TO_FIX,166.14,75.8,-90.34,2996.94,-7.48,-8.47,-6.15,89.86,-1.432,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,270.2,-6,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,FLYING
2.44,APPROACH,FLY_TO_FIX,165.93,76.2,-89.73,2984.17,-25.19,-16.23,-8.75,89.64,-1.641,0,0,0,1,0.6,0.9,0.75,0.35,0.0168,0.4,270.2,-6,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,FLYING
3.16,APPROACH,FLY_TO_FIX,165.84,76.6,-89.24,2957.16,-46.24,-22.33,-8.71,89.49,-1.641,0,0,0,1,0.6,0.99,0.75,0.35,0.0168,0.4,270.2,-6,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,FLYING
3.88,APPROACH,FLY_TO_FIX,166.3,77,-89.3,2915,-67.65,-29.08,-9.07,89.31,-1.608,0,0,0,1,0.6,1.192,0.75,0.35,0.0168,0.4,270.19,-6,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94,FLYING
4.6,APPROACH,FLY_TO_FIX,167.47,77.4,-90.07,2857.8,-88.16,-35.78,-9.4,89.12,-1.565,0,0,0,1,0.6,1.379,0.75,0.35,0.0168,0.4,270.19,-6,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,FLYING
5.32,APPROACH,FLY_TO_FIX,169.26,77.8,-91.46,2785.9,-108.44,-41.99,-9.17,88.91,-1.522,0,0,0,1,0.6,1.554,0.75,0.35,0.0168,0.4,270.19,-6,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,FLYING
6.02,APPROACH,FLY_TO_FIX,171.59,78.2,-93.39,2702.39,-127.47,-48.49,-9.38,88.64,-1.481,0,0,0,1,0.6,1.717,0.75,0.35,0.0168,0.4,270.19,-6,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,FLYING
6.74,APPROACH,FLY_TO_FIX,174.6,78.6,-96,2603.12,-145.82,-55.12,-9.57,88.27,-1.441,0,0,0,1,0.6,1.87,0.75,0.35,0.0168,0.4,270.18,-6,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,FLYING
7.46,APPROACH,FLY_TO_FIX,178.13,79,-99.13,2491.07,-163.14,-61.38,-9.37,87.8,-1.4,0,0,0,1,0.6,2.015,0.75,0.35,0.0168,0.4,270.18,-5.843,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52,FLYING
8.18,APPROACH,FLY_TO_FIX,182.12,79.4,-102.72,2367.2,-179.06,-67.9,-9.4,87.03,-1.364,0,0,0,1,0.6,2.151,0.75,0.35,0.0168,0.4,270.18,-5.233,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,FLYING
8.9,APPROACH,FLY_TO_FIX,186.57,79.8,-106.77,2232.67,-193.1,-74.61,-9.67,85.57,-1.331,0,0,0,1,0.6,2.282,0.75,0.35,0.0168,0.4,270.17,-4.569,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96,FLYING
9.64,APPROACH,FLY_TO_FIX,191.47,80.2,-111.27,2084.7,-205.49,-81.08,-9.51,82.16,-1.295,0,0,0,1,0.6,2.406,0.75,0.35,0.0168,0.4,270.17,-3.836,0,0,0,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,FLYING
