t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
0.16,APPROACH,ILS_TRACK,155.23,152,-3.23,667.01,587.28,-21.36,6.85,14.34,270.09,0.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-7.84,0,0,0,90,0,0,0,0,0,0.01,-22.32,11.736,0,0,0,3,667.01,0,0,689.33,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.19,1092.81,2,0,0.14,0.14,1,3.7,0.14,0.02,0.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.42,APPROACH,ILS_TRACK,155.46,152,-3.46,661.4,581.69,-21.03,6.87,14.22,270.15,0.547,0,0,0,1,0.6,1.487,0.75,0.35,0.0168,0.4,2.194,20.921,2.194,3.44,1,269.99,0,0,1,-7.73,0,0,0,269.97,0.4817,-0.0002,0.8763,0,269.99,0.02,-24.96,11.702,-0.009,17.686,1,3,667.01,-12.746,0,687.55,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.62,1094.19,2,0,0.127,0.127,3,7.58,0.14,0.102,0.42,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
0.78,APPROACH,ILS_TRACK,155.62,152,-3.62,653.68,574.34,-20.76,5.92,13.06,270.14,0.306,0,0,0,1,0.6,2.747,0.75,0.35,0.0168,0.4,2.374,20.875,2.374,3.604,1,269.96,0,0,1,-7.61,0,0,0,269.98,0.4818,-0.0007,0.8763,0,269.96,0.06,-29.44,11.646,-0.04,19.452,1,3,667.01,-13.273,0,684.65,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.18,1095.44,2,0,0.163,0.163,5,5.63,0.178,0.127,0.78,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.16,APPROACH,ILS_TRACK,155.85,152,-3.85,644.99,566.46,-20.75,3.68,10.63,270.07,0.054,0,0,0,1,0.6,3.815,0.75,0.35,0.0168,0.4,2.62,20.812,2.62,3.829,1,269.96,0,0,1,-7.54,0,0,0,269.96,0.4819,-0.0008,0.8762,0,269.96,0.12,-34.76,11.584,-0.045,21.777,1,3,667.01,-14.186,0,681.36,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.04,1097,2,0,0.175,0.175,7,5.19,0.21,0.163,1.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.51,APPROACH,ILS_TRACK,156.25,152,-4.25,636.92,559.06,-21.86,1.34,8.75,270.04,-0.019,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.025,20.706,3.025,4.203,1,269.96,0,0,1,-7.87,0,0,0,269.96,0.482,-0.0008,0.8762,0,269.96,0.17,-39.84,11.527,-0.045,23.564,1,3,667.01,-14.517,0,678.37,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.25,1099.28,2,0,0.175,0.175,9,5.71,0.175,0.175,1.51,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
1.86,APPROACH,ILS_TRACK,156.77,152,-4.77,628.87,551.15,-23.14,0.57,8.59,270.04,-0.006,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.579,20.561,3.579,4.72,1,269.96,0,0,1,-8.34,0,0,0,269.96,0.482,-0.0007,0.8762,0,269.96,0.22,-44.89,11.469,-0.042,24.979,1,3,667.01,-14.392,0,675.38,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.91,1102.11,2,0,0.175,0.175,11,5.71,0.175,0.175,1.86,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.21,APPROACH,ILS_TRACK,157.26,152,-5.26,620.67,542.86,-24.12,0.73,9.11,270.05,0.038,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.097,20.422,4.097,5.212,1,269.96,0,0,1,-8.65,0,0,0,269.96,0.4821,-0.0008,0.8761,0,269.96,0.26,-50.06,11.412,-0.043,26.951,1,3,667.01,-14.917,0,672.37,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.66,1104.86,2,0,0.175,0.175,13,5.71,0.175,0.175,2.21,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.56,APPROACH,ILS_TRACK,157.63,152,-5.63,612.36,534.26,-24.71,1.62,10.26,270.05,0.051,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.503,20.312,4.503,5.601,1,269.95,0,0,1,-8.88,0,0,0,269.96,0.4822,-0.0008,0.8761,0,269.95,0.31,-55.33,11.355,-0.047,28.709,1,3,667.01,-15.138,0,669.37,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.21,1107.16,2,0,0.175,0.175,15,5.71,0.175,0.175,2.56,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
2.91,APPROACH,ILS_TRACK,157.83,152,-5.83,603.99,525.49,-25.07,2.72,11.55,270.06,0.056,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.726,20.251,4.726,5.818,1,269.95,0,0,1,-9.02,0,0,0,269.95,0.4823,-0.0009,0.876,0,269.95,0.36,-60.7,11.297,-0.049,30.472,1,3,667.01,-15.326,0,666.36,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.35,1108.73,2,0,0.175,0.175,17,5.71,0.175,0.175,2.91,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.26,APPROACH,ILS_TRACK,157.82,152,-5.82,595.7,516.68,-24.99,4.3,13.16,270.06,0.021,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.74,20.248,4.74,5.831,1,269.95,0,0,1,-9.01,0,0,0,269.95,0.4824,-0.0009,0.876,0,269.95,0.41,-66.01,11.24,-0.052,31.869,1,3,667.01,-15.082,0,663.36,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.89,1109.39,2,0,0.175,0.175,19,5.71,0.175,0.175,3.26,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
