time_s,phase,ias_mps,aoa_deg,vs_mps,agl_m,lift_kN,weight_kN,lift_ratio,vs1g_est_mps
#META,tag=IFC_TAKEOFF_RWY_09,far_ok=True,alpha_crit_deg=18
0.02,TAKEOFF:TO_PREFLIGHT,0.882,88.055,-0.972,4.861,0.3,971.105,0.00031,-1
0.18,TAKEOFF:TO_PREFLIGHT,0.494,-77.934,0.445,4.53,-0.033,971.105,-3E-05,-1
0.4,TAKEOFF:TO_PREFLIGHT,0.404,64.056,-0.293,4.08,-0.017,971.105,-2E-05,-1
0.58,TAKEOFF:TO_PREFLIGHT,0.366,39.054,-0.037,3.604,0.071,971.105,7E-05,-1
0.76,TAKEOFF:TO_PREFLIGHT,0.389,-53.637,0.359,3.549,-0.04,971.105,-4E-05,-1
0.96,TAKEOFF:TO_PREFLIGHT,0.279,72.745,-0.549,3.632,0.081,971.104,8E-05,-1
1.18,TAKEOFF:TO_PREFLIGHT,0.123,-67.641,0.361,3.73,-0.024,971.103,-2E-05,-1
1.36,TAKEOFF:TO_PREFLIGHT,0.357,-65.591,0.082,3.866,-0.035,971.102,-4E-05,-1
1.54,TAKEOFF:TO_PREFLIGHT,0.162,80.127,-0.293,3.901,0,971.1,0,-1
1.72,TAKEOFF:TO_PREFLIGHT,0.091,-75.441,0.254,3.967,-0.011,971.098,-1E-05,-1
1.9,TAKEOFF:TO_PREFLIGHT,0.163,61.396,-0.075,4.032,-0.003,971.095,0,-1
2.12,TAKEOFF:TO_PREFLIGHT,0.14,54.841,-0.026,4.015,0.004,971.09,0,-1
2.38,TAKEOFF:TO_PREFLIGHT,0.124,-16.618,0.005,3.983,0,971.084,0,-1
2.6,TAKEOFF:TO_PREFLIGHT,0.185,24.177,-0.065,3.856,0.006,971.077,1E-05,-1
2.82,TAKEOFF:TO_PREFLIGHT,0.222,-17.913,0.077,3.702,-0.013,971.068,-1E-05,-1
3.04,TAKEOFF:TO_PREFLIGHT,0.274,12.014,-0.049,3.548,0.004,971.059,0,-1
3.26,TAKEOFF:TO_PREFLIGHT,0.119,69.399,-0.072,3.612,0.001,971.048,0,-1
